t,i1,i2,i3,sum
0,-0.267206,0.0639728254849235,0.203233174515077,5.55111512312578e-17
0.25,-0.2464622,0.1232311,0.1232311,5.55111512312578e-17
0.5,-0.267206,0.133603,0.133603,5.55111512312578e-17
0.75,-0.267206,0.0100788521718526,0.257127147828147,5.55111512312578e-17
1,-0.1893771,0.0250583754849235,0.164318724515077,2.77555756156289e-17
1.25,-0.2438891,0.0523143754849235,0.191574724515077,2.77555756156289e-17
1.5,-0.2308647,0.0458021754849235,0.185062524515077,5.55111512312578e-17
1.75,-0.186804,0.0237718254849235,0.163032174515077,2.77555756156289e-17
2,-0.186804,0.0237718254849235,0.163032174515077,2.77555756156289e-17
2.25,-0.241316,0.0510278254849235,0.190288174515077,2.77555756156289e-17
2.5,-0.267206,0.0639728254849235,0.203233174515077,5.55111512312578e-17
2.75,-0.186804,-0.0345788877611029,0.221382887761103,0
3,-0.1945234,-0.0353135391307197,0.22983693913072,-2.77555756156289e-17
3.25,-0.2152671,-0.00697703135969609,0.222244131359696,2.77555756156289e-17
3.5,-0.2360109,-0.0212548990301529,0.257265799030153,0
3.75,-0.186804,-0.0458583490301529,0.232662349030153,0
4,-0.1970965,0.0200045090164722,0.177091990983528,2.77555756156289e-17
4.25,-0.186804,-0.0458583490301529,0.232662349030153,0
4.5,-0.186804,-0.0458583490301529,0.232662349030153,0
4.75,-0.186804,-0.0458583490301529,0.232662349030153,0
5,-0.186804,-0.0458583490301529,0.232662349030153,0
5.25,-0.186804,-0.086382015941817,0.273186015941817,0
5.5,-0.186804,-0.0684173581707934,0.255221358170793,0
5.75,-0.2619009,-0.0733457221756126,0.335246622175613,0
6,-0.1713653,-0.0535776990301529,0.224942999030153,0
6.25,-0.186804,-0.115488523545229,0.302292523545229,-5.55111512312578e-17
6.5,-0.0494758,-0.0941918964585305,0.143667696458531,-2.77555756156289e-17
6.75,-0.026,-0.126260349030153,0.152260349030153,-2.77555756156289e-17
7,-0.0883902,-0.0794665726622684,0.167856772662268,-2.77555756156289e-17
7.25,-0.0647556,-0.106882549030153,0.171638149030153,0
7.5,-0.106402,-0.0679571664250083,0.174359166425008,0
7.75,-0.1866452,-0.0459377490301529,0.232582949030153,2.77555756156289e-17
8,-0.1269869,-0.00613672451507646,0.133123624515076,0
8.25,-0.1454753,0.00310747548492353,0.142367824515077,5.55111512312578e-17
8.5,-0.106402,-0.0323029871537433,0.138704987153743,0
8.75,-0.106402,-0.0164291745150765,0.122831174515076,0
9,-0.106402,-0.0164291745150765,0.122831174515076,0
9.25,-0.106402,-0.0164291745150765,0.122831174515076,0
9.5,-0.1710476,0.0295390681571126,0.141508531842887,0
9.75,-0.106402,-0.0164291745150765,0.122831174515076,0
10,-0.1321332,-0.00356357451507647,0.135696774515077,2.77555756156289e-17
