second,CH1,CH2,CH3,CH4
-0.224,-0.106402,0,3.7788944,-3.7984924
-0.22375,-0.1136448,0,3.7788944,-3.5572864
-0.2235,-0.106402,-0.0524155,3.8592964,-3.3964824
-0.22325,-0.106402,0,3.7788944,-3.2040067
-0.223,-0.106402,0,3.8592964,-2.8336683
-0.22275,-0.106402,-0.0098159,3.7690785,-2.5924623
-0.2225,-0.106402,0,3.8592964,-2.4316583
-0.22225,-0.106402,0,3.8592964,-2.0587468
-0.222,-0.106402,-0.0720472,3.8592964,-1.9408914
-0.22175,-0.106402,0,3.7788944,-1.7080402
-0.2215,-0.106402,-0.080402,3.8592964,-1.3060301
-0.22125,-0.186804,0.0538766,3.7788944,-1.1452261
-0.221,-0.186804,0,3.9339168,-0.9040201
-0.22075,-0.186804,-0.0149621,3.8592964,-0.7432161
-0.2205,-0.186804,-0.0357059,3.7788944,-0.3769119
-0.22025,-0.186804,0,3.8592964,-0.180402
-0.22,-0.186804,-0.080402,3.7788944,-0.019598
-0.21975,-0.186804,-0.0175352,3.8592964,0.1587413
-0.2195,-0.144681,-0.042123,3.7788944,0.5010931
-0.21925,-0.186804,-0.0590228,3.7788944,0.7040201
-0.219,-0.186804,-0.0006354,3.858661,0.8654595
-0.21875,-0.186804,-0.0602937,3.7788944,1.1060301
-0.2185,-0.267206,0,3.8592964,1.4276382
-0.21825,-0.267206,-0.0615959,3.7788944,1.6688442
-0.218,-0.267206,0,3.8573588,1.8296482
-0.21775,-0.267206,0,3.8592964,2.0708542
-0.2175,-0.2302293,-0.080402,3.7788944,2.4358875
-0.21725,-0.267206,-0.080402,3.8592964,2.6336683
-0.217,-0.267206,-0.0758912,3.7788944,2.7944723
-0.21675,-0.267206,0,3.8340419,2.9805309
-0.2165,-0.267206,-0.0344037,3.7788944,3.3228827
-0.21625,-0.2808659,-0.080402,3.7788944,3.5317503
-0.216,-0.267206,0,3.7788944,3.7522125
-0.21575,-0.347608,0,3.7788944,3.9201005
-0.2155,-0.267206,-0.160804,3.810725,4.29028
-0.21525,-0.2782928,-0.080402,3.7788944,4.4829145
-0.215,-0.337951,-0.151147,3.7885515,4.8141796
-0.21475,-0.347608,-0.160804,3.8092952,5.0457286
-0.2145,-0.267206,-0.160804,3.8592964,5.2065326
-0.21425,-0.267206,-0.1522904,3.7788944,5.439225
-0.214,-0.1990342,-0.0926322,3.8592964,5.7693467
-0.21375,-0.267206,-0.160804,3.7788944,5.9301507
-0.2135,-0.2405217,-0.080402,3.8592964,6.1713567
-0.21325,-0.267206,-0.080402,3.8592964,6.3321607
-0.213,-0.2524028,-0.160804,3.7788944,6.6537688
-0.21275,-0.186804,-0.080402,3.8592964,6.8594278
-0.2125,-0.186804,-0.160804,3.7788944,7.07989
-0.21225,-0.1834366,-0.080402,3.8592964,7.2969848
-0.212,-0.1237784,-0.0977784,3.7788944,7.6185929
-0.21175,-0.186804,-0.1185222,3.7788944,7.7793969
-0.2115,-0.245668,-0.1392659,3.8592964,-7.9793969
-0.21125,-0.186804,-0.0811963,3.7788944,-7.7381909
-0.211,-0.186804,-0.160804,3.8592964,-7.3966333
-0.21075,-0.186804,-0.160804,3.7788944,-7.2150855
-0.2105,-0.186804,-0.160804,3.7978594,-6.9341708
-0.21025,-0.186804,-0.160804,3.8575176,-6.7751456
-0.21,-0.106402,-0.1382814,3.7788944,-6.4517587
-0.20975,-0.106402,-0.1236684,3.8160301,-6.2909547
-0.2095,-0.106402,-0.0967939,3.7788944,-6.1301507
-0.20925,-0.106402,-0.160804,3.8592964,-5.8889447
-0.209,-0.106402,-0.160804,3.7235881,-5.5120303
-0.20875,-0.106402,-0.160804,3.7788944,-5.3261306
-0.2085,-0.106402,-0.080402,3.8592964,-4.9907038
-0.20825,-0.099477,-0.160804,3.8662215,-4.7702416
-0.208,-0.106402,-0.1331352,3.8065633,-4.5221105
-0.20775,-0.106402,-0.080402,3.8912858,-4.4097191
-0.2075,-0.1176476,-0.160804,3.7788944,-4.0396985
-0.20725,-0.106402,-0.0094982,3.7788944,-3.8788944
-0.207,-0.186804,-0.0501601,3.9094565,-3.6376884
-0.20675,-0.186804,-0.080402,3.7788944,-3.3964824
-0.2065,-0.186804,-0.080402,3.8592964,-3.0748743
-0.20625,-0.1747327,-0.080402,3.7788944,-2.9140703
-0.206,-0.153989,-0.080402,3.8592964,-2.6728643
-0.20575,-0.106402,-0.080402,3.8592964,-2.5389034
-0.2055,-0.1125014,-0.080402,3.7788944,-2.1100502
-0.20525,-0.186804,-0.080402,3.7935388,-1.9492462
-0.205,-0.106402,-0.0353882,3.7788944,-1.7434284
-0.20475,-0.162534,-0.080402,3.8350264,-1.5472362
-0.2045,-0.186804,0,3.7788944,-1.2221019
-0.20425,-0.186804,0,3.7616769,-1.0476066
-0.204,-0.1443633,0.0379613,3.8592964,-0.8236181
-0.20375,-0.208501,0,3.7201894,-0.5824121
-0.2035,-0.186804,-0.0009532,3.8583433,-0.260804
-0.20325,-0.186804,-0.0197906,3.7788944,-0.0802094
-0.203,-0.186804,0,3.8592964,0.1013384
-0.20275,-0.1255258,0.0191238,3.8592964,0.30201
-0.2025,-0.1851841,0,3.7788944,0.625238
-0.20225,-0.186804,0.080402,3.8012582,0.8424604
-0.202,-0.186804,0.0372945,3.7415999,1.2237266
-0.20175,-0.267206,0,3.7954451,1.4276382
-0.2015,-0.2713991,-0.0762089,3.8634895,1.5884422
-0.20125,-0.3226712,0,3.8592964,1.8047114
-0.201,-0.3019274,0,3.8136158,2.1512563
-0.20075,-0.267206,0,3.8592964,2.3784847
-0.2005,-0.186804,-0.0871682,3.7788944,2.5532663
-0.20025,-0.2396961,-0.080402,3.8592964,2.7415803
-0.2,-0.267206,-0.080402,3.7788944,3.0839321
-0.19975,-0.1982085,-0.080402,3.7788944,3.2882889
-0.1995,-0.1961433,-0.080402,3.9303591,3.5180904
-0.19925,-0.186804,-0.080402,3.8292133,3.6788944
-0.199,-0.267206,0,3.8084696,4.0005025
-0.19875,-0.267206,-0.080402,3.7788944,4.1701378
-0.1985,-0.267206,-0.0923144,3.8592964,4.4144249
-0.19825,-0.186804,-0.080402,3.8592964,4.5959727
-0.198,-0.267206,-0.133802,3.7788944,4.9653266
-0.19775,-0.267206,-0.080402,3.8592964,5.2002744
-0.1975,-0.267206,-0.080402,3.7788944,5.3673366
-0.19725,-0.2220333,-0.080402,3.8141238,5.5281406
-0.197,-0.2112329,-0.080402,3.7788944,5.9057218
-0.19675,-0.267206,-0.1571189,3.7788944,6.0909547
-0.1965,-0.267206,-0.1437454,3.7959531,6.3321607
-0.19625,-0.267206,-0.1182044,3.7788944,6.4551623
-0.196,-0.186804,-0.160804,3.8007502,6.8145728
-0.19575,-0.186804,-0.240094,3.7777824,6.9764888
-0.1955,-0.186804,-0.241206,3.7788944,7.2165828
-0.19525,-0.186804,-0.160804,3.8592964,7.3773869
-0.195,-0.186804,-0.241206,3.7596118,7.7793969
-0.19475,-0.186804,-0.2397449,3.7788944,-7.980858
-0.1945,-0.186804,-0.160804,3.8592964,-7.6577889
-0.19425,-0.186804,-0.160804,3.8218431,-7.4595315
-0.194,-0.186804,-0.0971116,3.8592964,-7.2557788
-0.19375,-0.186804,-0.160804,3.8592964,-7.0949748
-0.1935,-0.186804,-0.160804,3.7788944,-6.6929648
-0.19325,-0.1519238,-0.080402,3.9048182,-6.5321607
-0.193,-0.186804,-0.080402,3.7788944,-6.3713567
-0.19275,-0.1801967,-0.080402,3.8592964,-6.1301507
-0.1925,-0.186804,-0.1334529,3.7788944,-5.7554918
-0.19225,-0.1544969,-0.080402,3.7788944,-5.5673366
-0.192,-0.186804,-0.080402,3.8592964,-5.3949693
-0.19175,-0.1155825,-0.080402,3.7788944,-5.2365481
-0.1915,-0.106402,-0.1308798,3.8592964,-4.7932408
-0.19125,-0.15707,-0.080402,3.7788944,-4.6531805
-0.191,-0.106402,-0.080402,3.8592964,-4.4417085
-0.19075,-0.106402,-0.1490505,3.8592964,-4.2691509
-0.1905,-0.106402,-0.080402,3.7788944,-3.8788944
-0.19025,-0.106402,-0.080402,3.8321356,-3.6909295
-0.19,-0.106402,-0.080402,3.7788944,-3.4768844
-0.18975,-0.106402,0,3.8592964,-3.3160804
-0.1895,-0.106402,-0.080402,3.7788944,-2.9491408
-0.18925,-0.106402,-0.080402,3.7788944,-2.7532663
-0.189,-0.106402,-0.003844,3.8554525,-2.5924623
-0.18875,-0.106402,-0.0635022,3.7153922,-2.3512563
-0.1885,-0.106402,0,3.8592964,-2.0296482
-0.18825,-0.106402,-0.0220146,3.7788944,-1.8688442
-0.188,-0.026,-0.0791311,3.8592964,-1.6276382
-0.18775,-0.0454729,0,3.8592964,-1.4473612
-0.1875,-0.1466187,0.0401853,3.7788944,-1.0648241
-0.18725,-0.186804,0.080402,3.8398549,-0.9040201
-0.187,-0.186804,0.080402,3.8592964,-0.50201
-0.18675,-0.186804,0,3.7788944,-0.31916
-0.1865,-0.186804,0.0427898,3.8592964,-0.1
-0.18625,-0.186804,0,3.8592964,0.060804
-0.186,-0.106402,-0.0038754,3.7788944,0.3862874
-0.18575,-0.186804,-0.0557829,3.8592964,0.5989989
-0.1855,-0.1517649,-0.0453629,3.7788944,0.7844221
-0.18525,-0.186804,-0.0142953,3.8592964,0.9595214
-0.185,-0.186804,0,3.7788944,1.4211897
-0.18475,-0.2400138,-0.080402,3.7788944,1.5612499
-0.1845,-0.186804,-0.047936,3.8113604,1.7492462
-0.18425,-0.2554838,-0.080402,3.7788944,1.9100502
-0.184,-0.2581844,-0.0713804,3.8592964,2.3120603
-0.18375,-0.267206,-0.080402,3.8295311,2.4728643
-0.1835,-0.186804,0,3.8592964,2.6336683
-0.18325,-0.258057,-0.1425059,3.8592964,2.8748743
-0.183,-0.2556113,-0.0115947,3.7788944,3.2652897
-0.18275,-0.267206,0,3.8112329,3.4376884
-0.1825,-0.2929686,-0.0530823,3.7788944,3.5984924
-0.18225,-0.3410321,0,3.8592964,3.8396984
-0.182,-0.267206,-0.160804,3.7788944,4.1613065
-0.18175,-0.3126964,-0.1258924,3.7439828,4.3570221
-0.1815,-0.267206,-0.160804,3.7788944,4.5633165
-0.18125,-0.267206,-0.1568012,3.7788944,4.7241205
-0.181,-0.347608,-0.160804,3.8592964,5.1093897
-0.18075,-0.267206,-0.1233193,3.7788944,5.2869346
-0.1805,-0.267206,-0.160804,3.8010679,5.6889447
-0.18025,-0.3461783,-0.0818317,3.8592964,5.8497487
-0.18,-0.267206,-0.160804,3.8592964,6.0105527
-0.17975,-0.3075502,-0.1204598,3.7788944,6.1713567
-0.1795,-0.267206,-0.1000024,3.839696,6.5733668
-0.17925,-0.1086888,-0.160804,3.7788944,6.7341708
-0.179,-0.186804,-0.160804,3.8592964,6.9753768
-0.17875,-0.186804,-0.123033,3.8592964,7.1361808
-0.1785,-0.186804,-0.0974293,3.7788944,7.4577889
-0.17825,-0.186804,-0.160804,3.7863274,7.6989949
-0.178,-0.186804,-0.1363437,3.7788944,-8.0597989
-0.17775,-0.186804,-0.080402,3.8592964,-7.8989949
-0.1775,-0.2527519,-0.1463499,3.7788944,-7.4969848
-0.17725,-0.1930936,-0.160804,3.7851841,-7.3361808
-0.177,-0.186804,-0.160804,3.8592964,-7.1483434
-0.17675,-0.186804,-0.1130268,3.7788944,-6.9341708
-0.1765,-0.106402,-0.160804,3.7788944,-6.6125627
-0.17625,-0.106402,-0.080402,3.7788944,-6.3713567
-0.176,-0.1571975,-0.1100085,3.8592964,-6.2105527
-0.17575,-0.106402,-0.1104537,3.8592964,-6.0497487
-0.1755,-0.106402,-0.160804,3.7788944,-5.6384307
-0.17525,-0.106402,-0.080402,3.7903303,-5.4754988
-0.175,-0.106402,-0.1286244,3.7788944,-5.2457286
-0.17475,-0.106402,-0.160804,3.8592964,-5.0320012
-0.1745,-0.106402,-0.1540692,3.7788944,-4.6829145
-0.17425,-0.040009,-0.160804,3.7788944,-4.5221105
-0.174,-0.0716493,-0.160804,3.8592964,-4.2809045
-0.17375,-0.0509055,-0.160804,3.7788944,-4.1201005
-0.1735,-0.1022403,0,3.8592964,-3.7222521
-0.17325,-0.0425821,-0.0638199,3.9231164,-3.5572864
-0.173,-0.106402,-0.0430761,3.8592964,-3.1552764
-0.17275,-0.1287344,-0.0580696,3.7788944,-2.9944723
-0.1725,-0.1852154,0,3.9396985,-2.8336683
-0.17225,-0.1255572,-0.080402,3.7788944,-2.6537091
-0.172,-0.146301,-0.080402,3.8592964,-2.2303512
-0.17175,-0.106402,-0.0197593,3.7986537,-2.1100502
-0.1715,-0.1858195,-0.0009845,3.8592964,-1.8688442
-0.17125,-0.1650757,-0.080402,3.8375681,-1.7080402
-0.171,-0.1443319,0,3.8213665,-1.3060301
-0.17075,-0.186804,0,3.8592964,-1.1452261
-0.1705,-0.1903617,-0.0035576,3.7788944,-0.9040201
-0.17025,-0.186804,-0.0243014,3.8592964,-0.7432161
-0.17,-0.186804,-0.080402,3.7788944,-0.421608
-0.16975,-0.186804,-0.080402,3.7788944,-0.246191
-0.1695,-0.186804,0,3.8592964,-0.019598
-0.16925,-0.1599295,-0.0268745,3.7788944,0.141206
-0.169,-0.186804,0,3.8592964,0.5432161
-0.16875,-0.1184419,0,3.7788944,0.7040201
-0.1685,-0.186804,0.080402,3.8505926,0.8648241
-0.16825,-0.1358497,0.0509544,3.8083421,1.1060301
-0.168,-0.267206,0,3.7788944,1.5080402
-0.16775,-0.267206,-0.0094668,3.8592964,1.6688442
-0.1675,-0.347608,-0.069125,3.6984924,1.8296482
-0.16725,-0.267206,0,3.8592964,2.0708542
-0.167,-0.267206,0,3.7788944,2.4452268
-0.16675,-0.3407144,0,3.7053861,2.56016
-0.1665,-0.3337579,0,3.7927445,2.7944723
-0.16625,-0.3017999,-0.0345939,3.7330863,3.1964824
-0.166,-0.2922704,0,3.8342321,3.3019487
-0.16575,-0.2715266,0,3.9353779,3.5984924
-0.1655,-0.3311848,0,3.7788944,3.9201005
-0.16525,-0.267206,-0.117569,3.7788944,4.0809045
-0.165,-0.267206,-0.1383128,3.9172072,4.3221105
-0.16475,-0.267206,-0.0821495,3.7788944,4.4829145
-0.1645,-0.267206,-0.080402,3.8592964,4.8659282
-0.16425,-0.267206,-0.080402,3.7788944,5.0457286
-0.164,-0.186804,-0.080402,3.7988125,5.2065326
-0.16375,-0.267206,-0.1599783,3.8584708,5.44939
-0.1635,-0.2083735,-0.080402,3.7788944,5.7693467
-0.16325,-0.267206,-0.1184908,3.8169832,5.9724639
-0.163,-0.249861,-0.143459,3.7788944,6.1713567
-0.16275,-0.267206,-0.1574052,3.8592964,6.3355595
-0.1625,-0.1305446,-0.160804,3.803037,6.7341708
-0.16225,-0.1419177,-0.160804,3.7788944,6.8949748
-0.162,-0.186804,-0.160804,3.8592964,7.0557788
-0.16175,-0.186804,-0.160804,3.7788944,7.3029567
-0.1615,-0.186804,-0.160804,3.8592964,7.6185929
-0.16125,-0.2197466,-0.160804,3.7788944,-8.1402009
-0.161,-0.186804,-0.160804,3.7910932,-7.9793969
-0.16075,-0.186804,-0.160804,3.8507514,-7.7381909
-0.1605,-0.186804,-0.160804,3.7788944,-7.387294
-0.16025,-0.186804,-0.160804,3.828927,-7.1753768
-0.16,-0.2575804,-0.241206,3.7788944,-6.8441431
-0.15975,-0.106402,-0.2523242,3.7788944,-6.6125627
-0.1595,-0.106402,-0.160804,3.8592964,-6.4517587
-0.15925,-0.0537963,-0.080402,3.8592964,-6.2909547
-0.159,-0.186804,-0.0874545,3.7788944,-5.8889447
-0.15875,-0.106402,-0.080402,3.8592964,-5.6614299
-0.1585,-0.186804,-0.080402,3.8248614,-5.4869346
-0.15825,-0.186804,-0.080402,3.8592964,-5.3261306
-0.158,-0.186804,-0.080402,3.7788944,-4.9241206
-0.15775,-0.1226664,-0.0966664,3.8592964,-4.7633165
-0.1575,-0.1434102,-0.080402,3.8592964,-4.5655044
-0.15725,-0.1641539,-0.080402,3.7788944,-4.3613065
-0.157,-0.106402,-0.080402,3.9377921,-4.0396985
-0.15675,-0.106402,-0.080402,3.7788944,-3.860057
-0.1565,-0.186804,-0.080402,3.8592964,-3.6376884
-0.15625,-0.186804,-0.060325,3.8592964,-3.4768844
-0.156,-0.106402,-0.080402,3.7788944,-3.0748743
-0.15575,-0.106402,-0.080402,3.7788944,-2.9140703
-0.1555,-0.106402,-0.080402,3.7367401,-2.6728643
-0.15525,-0.106402,-0.0628982,3.8592964,-2.5120603
-0.155,-0.106402,0,3.7788944,-2.1100502
-0.15475,-0.106402,0,3.7788944,-1.8928279
-0.1545,-0.106402,-0.0447275,3.8592964,-1.7437147
-0.15425,-0.106402,-0.0654713,3.7788944,-1.5472362
-0.154,-0.186804,0.005813,3.8592964,-1.1510392
-0.15375,-0.186804,0.0538452,3.7788944,-0.9844221
-0.1535,-0.2199054,0.080402,3.826195,-0.6297127
-0.15325,-0.186804,0.0123576,3.8592964,-0.421608
-0.153,-0.186804,0.0083862,3.8592964,-0.260804
-0.15275,-0.186804,0,3.8301665,0.0095319
-0.1525,-0.186804,-0.0305283,3.8592964,0.2714818
-0.15225,-0.1770195,-0.080402,3.7886789,0.4628141
-0.152,-0.186804,0,3.8592964,0.6345774
-0.15175,-0.235503,-0.080402,3.8592964,0.8965272
-0.1515,-0.186804,-0.0524468,3.7788944,1.2143873
-0.15125,-0.267206,-0.0072114,3.8665078,1.4276382
-0.151,-0.186804,-0.080402,3.7788944,1.5884422
-0.15075,-0.267206,-0.080402,3.8592964,1.8982006
-0.1505,-0.186804,-0.080402,3.7788944,2.1512563
-0.15025,-0.267206,-0.080402,3.8546582,2.387824
-0.15,-0.2511005,-0.080402,3.8592964,2.5532663
-0.14975,-0.186804,-0.0368493,3.7788944,2.7509196
-0.1495,-0.186804,-0.080402,3.8592964,3.1160804
-0.14925,-0.1888692,-0.0020652,3.7809596,3.2768844
-0.149,-0.267206,0,3.8592964,3.5180904
-0.14875,-0.267206,-0.0394224,3.819874,3.7183168
-0.1485,-0.267206,0,3.7788944,4.0809045
-0.14825,-0.267206,-0.080402,3.8592964,4.2417085
-0.148,-0.267206,-0.080402,3.7576427,4.4025125
-0.14775,-0.267206,-0.1188085,3.8173009,4.6857141
-0.1475,-0.267206,-0.160804,3.7788944,4.9653266
-0.14725,-0.2702871,-0.160804,3.8592964,5.2034515
-0.147,-0.267206,-0.160804,3.7788944,5.3435118
-0.14675,-0.267206,-0.080402,3.7343258,5.5727093
-0.1465,-0.3325184,-0.160804,3.8442068,5.9301507
-0.14625,-0.347608,-0.160804,3.7788944,6.1022631
-0.146,-0.3212101,-0.160804,3.8052924,6.4389607
-0.14575,-0.347608,-0.160804,3.8260362,6.6537688
-0.1455,-0.186804,-0.2286895,3.927182,6.8949748
-0.14525,-0.186804,-0.2329787,3.7871217,7.1361808
-0.145,-0.186804,-0.160804,3.8078655,7.3773869
-0.14475,-0.186804,-0.160804,3.7788944,7.5381909
-0.1445,-0.186804,-0.160804,3.8493531,7.7089383
-0.14425,-0.186804,-0.1500036,3.848496,-7.9577961
-0.144,-0.1379462,-0.080402,3.7788944,-7.6577889
-0.14375,-0.106402,-0.108516,3.8311824,-7.4446969
-0.1435,-0.2598358,-0.160804,3.7788944,-7.2557788
-0.14325,-0.186804,-0.160804,3.8592964,-7.0011993
-0.143,-0.186804,-0.160804,3.7788944,-6.6929648
-0.14275,-0.106402,-0.1059429,3.8044353,-6.5066198
-0.1425,-0.1111991,-0.1560069,3.8592964,-6.2957518
-0.14225,-0.106402,-0.080402,3.7788944,-6.0982574
-0.142,-0.106402,-0.080402,3.8592964,-5.7648311
-0.14175,-0.106402,-0.1033698,3.7788944,-5.5443688
-0.1415,-0.106402,-0.082626,3.8592964,-5.3261306
-0.14125,-0.1249218,-0.080402,3.7788944,-5.0664048
-0.141,-0.106402,-0.1215405,3.7788944,-4.8437185
-0.14075,-0.106402,-0.1404093,3.7788944,-4.6829145
-0.1405,-0.1060529,-0.1604549,3.7788944,-4.5221105
-0.14025,-0.026,-0.160804,3.8592964,-4.1201005
-0.14,-0.0645654,-0.0385654,3.7788944,-3.8788944
-0.13975,-0.0438216,0,3.8414749,-3.7180904
-0.1395,-0.0289222,0,3.8592964,-3.5572864
-0.13925,-0.049666,0,3.7788944,-3.2687484
-0.139,-0.106402,0,3.8233042,-2.9944723
-0.13875,-0.106402,0,3.8592964,-2.6229592
-0.1385,-0.106402,0,3.7788944,-2.3567516
-0.13825,-0.106402,-0.080402,3.8592964,-2.1642131
-0.138,-0.186804,-0.0334191,3.8592964,-1.9962291
-0.13775,-0.106402,-0.080402,3.8466211,-1.7207155
-0.1375,-0.106402,-0.0080684,3.8592964,-1.3864321
-0.13725,-0.186804,0,3.8304842,-1.2772179
-0.137,-0.186804,0,3.8592964,-1.0648241
-0.13675,-0.186804,0,3.7889967,-0.7533183
-0.1365,-0.186804,0,3.7788944,-0.50201
-0.13625,-0.186804,0,3.8592964,-0.3098207
-0.136,-0.186804,-0.080402,3.7788944,-0.1
-0.13575,-0.186804,-0.080402,3.8592964,0.1336769
-0.1355,-0.186804,-0.080402,3.7788944,0.4628141
-0.13525,-0.186804,-0.0339585,3.8128529,0.6236181
-0.135,-0.186804,0,3.8592964,0.7844221
-0.13475,-0.186804,-0.004956,3.7788944,1.1715642
-0.1345,-0.186804,0.080402,3.8435087,1.363024
-0.13425,-0.267206,0,3.7788944,1.5080402
-0.134,-0.2903327,0,3.8020211,1.7492462
