t,id,iq,omega,gamma
-233.2500E-03,-186.8040E-03,-379.0109E-03,-4.1005025E+00,+5.0457286E+00
-233.0000E-03,-106.4020E-03,-365.3510E-03,-4.1005025E+00,+4.8482655E+00
-232.7500E-03,-106.4020E-03,-386.0948E-03,-4.1809045E+00,+4.4829145E+00
-232.5000E-03,-106.4020E-03,-397.1815E-03,-4.2613065E+00,+4.2465370E+00
-232.2500E-03,-80.8297E-03,-266.7783E-03,-4.1809045E+00,+4.0809045E+00
-232.0000E-03,-26.0000E-03,-321.6080E-03,-4.2272206E+00,+3.9201005E+00
-231.7500E-03,-253.8639E-03,-80.4020E-03,-4.1138446E+00,+3.5180904E+00
-231.5000E-03,-267.2060E-03,-233.8044E-03,-4.1735028E+00,+3.3572864E+00
-231.2500E-03,-267.2060E-03,-293.4626E-03,-4.2613065E+00,+3.1964824E+00
-231.0000E-03,-186.8040E-03,-321.6080E-03,-4.1493917E+00,+3.0356784E+00
-230.7500E-03,-256.4370E-03,-321.6080E-03,-4.1809045E+00,+2.6336683E+00
-230.5000E-03,-186.8040E-03,-321.6080E-03,-4.1709297E+00,+2.4628895E+00
-230.2500E-03,-106.4020E-03,-321.6080E-03,-4.2116230E+00,+2.2009397E+00
-230.0000E-03,-106.4020E-03,-321.6080E-03,-4.1809045E+00,+2.0193919E+00
-229.7500E-03,-106.4020E-03,-321.6080E-03,-4.1086984E+00,+1.6688442E+00
-229.5000E-03,-106.4020E-03,-321.6080E-03,-4.1809045E+00,+1.4954923E+00
-229.2500E-03,-26.0000E-03,-368.7184E-03,-4.1005025E+00,+1.3472362E+00
-229.0000E-03,+366.6E-06,-347.9746E-03,-4.1268691E+00,+945.2261E-03
-228.7500E-03,-267.2060E-03,-315.9852E-03,-4.2613065E+00,+784.4221E-03
-228.5000E-03,-252.0851E-03,-321.6080E-03,-4.2613065E+00,+543.2161E-03
-228.2500E-03,-231.3413E-03,-357.4728E-03,-4.1809045E+00,+141.2060E-03
-228.0000E-03,-186.8040E-03,-345.4015E-03,-4.2046979E+00,-19.5980E-03
-227.7500E-03,-186.8040E-03,-398.9604E-03,-4.1005025E+00,-257.7543E-03
-227.5000E-03,-106.4020E-03,-321.6080E-03,-4.1985986E+00,-358.9001E-03
-227.2500E-03,-148.3661E-03,-321.6080E-03,-4.1389403E+00,-743.2161E-03
-227.0000E-03,-106.4020E-03,-321.6080E-03,-4.1596841E+00,-984.4221E-03
-226.7500E-03,-106.4020E-03,-321.6080E-03,-4.2608299E+00,-1.1452261E+00
-226.5000E-03,-46.2672E-03,-321.6080E-03,-4.1606373E+00,-1.3661649E+00
-226.2500E-03,-186.8040E-03,-80.4020E-03,-4.1809045E+00,-1.7080402E+00
-226.0000E-03,-267.2060E-03,-241.2060E-03,-4.1005025E+00,-1.8874914E+00
-225.7500E-03,-267.2060E-03,-321.6080E-03,-4.1809045E+00,-2.0296482E+00
-225.5000E-03,-267.2060E-03,-321.6080E-03,-4.1233428E+00,-2.2708542E+00
-225.2500E-03,-230.3881E-03,-321.6080E-03,-4.1005025E+00,-2.6728643E+00
