second,CH1,CH2,CH3,CH4
-0.1736,-0.186804,0,-4.1809045,6.6537688
-0.17335,-0.106402,0,-4.1088136,6.2517587
-0.1731,-0.106402,0,-4.1005025,6.0909547
-0.17285,-0.026,0,-4.1809045,5.8969742
-0.1726,-0.026,0.080402,-4.1269842,5.5820609
-0.17235,0.054402,0.080402,-4.1866425,5.3673366
-0.1721,0.0694078,0.0653962,-4.1959103,5.1411364
-0.17185,0.054402,-0.0446524,-4.1809045,4.8045226
-0.1716,0.054402,0,-4.1809045,4.6437185
-0.17135,-0.026,-0.0031649,-4.2613065,4.4797497
-0.1711,-0.106402,-0.080402,-4.1809045,4.2417085
-0.17085,-0.106402,-0.080402,-4.2192272,3.8817778
-0.1706,-0.1277375,-0.160804,-4.1809045,3.6575589
-0.17035,-0.106402,-0.080402,-4.1814962,3.4376884
-0.1701,-0.026,-0.160804,-4.1809045,3.2768844
-0.16985,-0.026,-0.160804,-4.1005025,2.9552763
-0.1696,0.054402,-0.160804,-4.1809045,2.7140703
-0.16935,0.0524206,-0.241206,-4.1005025,2.5532663
-0.1691,0.054402,-0.241206,-4.1809045,2.1512563
-0.16885,-0.026,-0.241206,-4.2243734,1.9904522
-0.1686,-0.026,-0.241206,-4.2613065,1.8134589
-0.16835,-0.1109565,-0.160804,-4.1809045,1.4276382
-0.1681,-0.186804,-0.160804,-4.2613065,1.2668342
-0.16785,-0.221164,-0.160804,-4.1348624,1.0256281
-0.1676,-0.186804,-0.160804,-4.2476903,0.8648241
-0.16735,-0.267206,-0.241206,-4.1737769,0.5432161
-0.1671,-0.2146754,-0.2690774,-4.1809045,0.30201
-0.16685,-0.186804,-0.2729929,-4.2613065,0.141206
-0.1666,-0.267206,-0.310565,-4.1115455,-0.0889569
-0.16635,-0.2575053,-0.321608,-4.1809045,-0.4923093
-0.1661,-0.2172485,-0.321608,-4.1005025,-0.6128566
-0.16585,-0.186804,-0.321608,-4.1809045,-1.0136358
-0.1656,-0.267206,-0.241206,-4.1893744,-1.2256281
-0.16535,-0.267206,-0.160804,-4.1931783,-1.3864321
-0.1651,-0.267206,-0.080402,-4.1335201,-1.5946206
-0.16485,-0.347608,-0.160804,-4.2613065,-1.9492462
-0.1646,-0.347608,-0.160804,-4.1063993,-2.1100502
-0.16435,-0.347608,-0.241206,-4.2464595,-2.2857012
-0.1641,-0.347608,-0.1963947,-4.2613065,-2.5120603
-0.16385,-0.42801,-0.1044695,-4.1809045,-2.8577358
-0.1636,-0.347608,-0.1574803,-4.1809045,-3.0748743
-0.16335,-0.347608,-0.143384,-4.1809045,-3.2530984
-0.1631,-0.347608,-0.160804,-4.1768301,-3.4387205
-0.16285,-0.2887004,-0.1018964,-4.1005025,-3.7984924
-0.1626,-0.3468574,-0.0796514,-4.1005025,-3.960047
-0.16235,-0.3276149,-0.0604088,-4.1809045,-4.4217153
-0.1621,-0.347608,0.0396651,-4.2613065,-4.5628475
-0.16185,-0.347608,0,-4.1809045,-4.7633165
-0.1616,-0.347608,0,-4.259484,-4.9259431
-0.16135,-0.4054438,0.0578357,-4.1809045,-5.3035643
-0.1611,-0.3847,0.080402,-4.1809045,-5.4869346
-0.16085,-0.347608,0.0640539,-4.2449583,-5.7281406
-0.1606,-0.2716017,0.080402,-4.1048981,-5.8889447
-0.16035,-0.3224686,0,-4.2060439,-6.2658153
-0.1601,-0.267206,0,-4.1463857,-6.4517587
-0.15985,-0.267206,0,-4.1809045,-6.6125627
-0.1596,-0.186804,0.0069687,-4.2613065,-6.8537688
-0.15935,-0.2394935,0.080402,-4.1005025,-7.1753768
-0.1591,-0.267206,0.080402,-4.1809045,-7.3681265
-0.15885,-0.2560041,0.160804,-4.2613065,-7.7381909
-0.1586,-0.186804,0.1703459,-4.1713626,-7.8989949
-0.15835,-0.1366876,0.160804,-4.2613065,7.2479475
-0.1581,-0.106402,0.160804,-4.2613065,7.6696223
-0.15785,-0.106402,0.080402,-4.1809045,7.2252116
-0.1576,-0.118517,0.080402,-4.2491915,7.0557788
-0.15735,-0.2196628,0,-4.1005025,6.8949748
-0.1571,-0.186804,-0.080402,-4.234507,6.7073713
-0.15685,-0.106402,-0.0060557,-4.1748488,6.3382164
-0.1566,-0.106402,-0.0146881,-4.1151906,6.1713567
-0.15635,-0.026,0,-4.1809045,5.9301507
-0.1561,-0.026,0,-4.1247288,5.8255223
-0.15585,-0.026,0.080402,-4.1809045,5.4442561
-0.1556,0.054402,0,-4.2613065,5.2065326
-0.15535,0.054402,0,-4.1809045,4.8469196
-0.1551,0.054402,-0.080402,-4.1221557,4.6437185
-0.15485,-0.026,-0.080402,-4.2613065,4.4829145
-0.1546,-0.106402,-0.080402,-4.1809045,4.3022762
-0.15435,-0.106402,-0.080402,-4.2613065,3.9599244
-0.1541,-0.186804,-0.0994821,-4.1809045,3.7592964
-0.15385,-0.106402,-0.080402,-4.1809045,3.5968288
-0.1536,-0.026,-0.160804,-4.2388991,3.3572864
-0.15335,0.0171512,-0.160804,-4.1809045,2.9552763
