x-axis,1,2,3,4
-99.5000E-03,-186.8040E-03,-241.2060E-03,-220.8197E-03,+623.6181E-03
-99.2500E-03,-106.4020E-03,-241.2060E-03,-160.8040E-03,+623.6181E-03
-99.0000E-03,-186.8040E-03,-241.2060E-03,-222.6779E-03,+623.6181E-03
-98.7500E-03,-108.6177E-03,-241.2060E-03,-238.9903E-03,+623.6181E-03
-98.5000E-03,-186.8040E-03,-218.2466E-03,-160.8040E-03,+623.6181E-03
-98.2500E-03,-186.8040E-03,-241.2060E-03,-197.5028E-03,+623.6181E-03
-98.0000E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+623.6181E-03
-97.7500E-03,-186.8040E-03,-236.4172E-03,-160.8040E-03,+623.6181E-03
-97.5000E-03,-186.8040E-03,-215.6734E-03,-160.8040E-03,+568.7487E-03
-97.2500E-03,-152.6784E-03,-207.0804E-03,-160.8040E-03,+623.6181E-03
-97.0000E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+556.5979E-03
-96.7500E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+623.6181E-03
-96.5000E-03,-186.8040E-03,-241.2060E-03,-188.9097E-03,+571.3218E-03
-96.2500E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+623.6181E-03
-96.0000E-03,-186.8040E-03,-171.6128E-03,-171.6128E-03,+623.6181E-03
-95.7500E-03,-186.8040E-03,-170.7390E-03,-160.8040E-03,+623.6181E-03
-95.5000E-03,-186.8040E-03,-210.5272E-03,-191.4828E-03,+623.6181E-03
-95.2500E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+623.6181E-03
-95.0000E-03,-106.4020E-03,-232.9704E-03,-169.0397E-03,+615.3824E-03
-94.7500E-03,-186.8040E-03,-173.3122E-03,-160.8040E-03,+623.6181E-03
-94.5000E-03,-186.8040E-03,-207.9541E-03,-160.8040E-03,+623.6181E-03
-94.2500E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+623.6181E-03
-94.0000E-03,-186.8040E-03,-241.2060E-03,-166.4665E-03,+623.6181E-03
-93.7500E-03,-171.7228E-03,-241.2060E-03,-160.8040E-03,+558.2973E-03
-93.5000E-03,-142.2271E-03,-241.2060E-03,-205.3810E-03,+587.7930E-03
-93.2500E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+567.0493E-03
-93.0000E-03,-186.8040E-03,-238.1166E-03,-238.1166E-03,+623.6181E-03
-92.7500E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+623.6181E-03
-92.5000E-03,-186.8040E-03,-199.2022E-03,-160.8040E-03,+623.6181E-03
-92.2500E-03,-186.8040E-03,-241.2060E-03,-182.0641E-03,+602.3580E-03
-92.0000E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+623.6181E-03
-91.7500E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+623.6181E-03
-91.5000E-03,-186.8040E-03,-200.2348E-03,-160.8040E-03,+623.6181E-03
-91.2500E-03,-168.1171E-03,-179.4910E-03,-222.5191E-03,+623.6181E-03
-91.0000E-03,-184.7472E-03,-162.8608E-03,-160.8040E-03,+623.6181E-03
-90.7500E-03,-186.8040E-03,-160.8040E-03,-218.4054E-03,+623.6181E-03
-90.5000E-03,-186.8040E-03,-204.3484E-03,-197.6616E-03,+623.6181E-03
