t,i1,i2,i3,sum
0,-0.186804,-0.102015073518232,0.288819073518232,0
0.25,-0.186804,-0.115488523545229,0.302292523545229,-5.55111512312578e-17
0.5,-0.186804,-0.0458583490301529,0.232662349030153,0
0.75,-0.186804,-0.115488523545229,0.302292523545229,-5.55111512312578e-17
1,-0.186804,-0.115488523545229,0.302292523545229,-5.55111512312578e-17
1.25,-0.186804,-0.0795249133971922,0.266328913397192,0
1.5,-0.186804,-0.115488523545229,0.302292523545229,-5.55111512312578e-17
1.75,-0.186804,-0.115488523545229,0.302292523545229,-5.55111512312578e-17
2,-0.1661,-0.107910333585276,0.274010333585276,-5.55111512312578e-17
2.25,-0.186804,-0.08175328336367,0.26855728336367,0
2.5,-0.186804,-0.0997178545321532,0.286521854532153,0
2.75,-0.186804,-0.0480523377881004,0.2348563377881,2.77555756156289e-17
3,-0.1635268,-0.106968477016258,0.270495277016258,0
3.25,-0.1427831,-0.0993757558477749,0.242158855847775,2.77555756156289e-17
3.5,-0.1220393,-0.0917829980767513,0.213822298076751,0
3.75,-0.186804,-0.111066164820804,0.297870164820804,0
4,-0.186804,-0.0682453655256018,0.255049365525602,5.55111512312578e-17
4.25,-0.186804,-0.115488523545229,0.302292523545229,-5.55111512312578e-17
4.5,-0.186804,-0.0571722781102736,0.243976278110274,2.77555756156289e-17
4.75,-0.186804,-0.0525090777210559,0.239313077721056,2.77555756156289e-17
5,-0.186804,-0.115488523545229,0.302292523545229,-5.55111512312578e-17
5.25,-0.1376368,-0.140072123545229,0.277708923545229,0
5.5,-0.116893,-0.141358551034127,0.258251551034127,0
5.75,-0.1166548,-0.150563123545229,0.267217923545229,0
6,-0.186804,-0.0727021054585573,0.259506105458557,0
6.25,-0.186804,-0.115488523545229,0.302292523545229,-5.55111512312578e-17
6.5,-0.186804,-0.115488523545229,0.302292523545229,-5.55111512312578e-17
6.75,-0.186804,-0.115488523545229,0.302292523545229,-5.55111512312578e-17
7,-0.106402,-0.126617397150347,0.233019397150347,-2.77555756156289e-17
7.25,-0.186804,-0.115488523545229,0.302292523545229,-5.55111512312578e-17
7.5,-0.186804,-0.0458583490301529,0.232662349030153,0
7.75,-0.186804,-0.115488523545229,0.302292523545229,-5.55111512312578e-17
8,-0.1506613,-0.133559873545229,0.284221173545229,0
8.25,-0.1299175,-0.123566839765077,0.253484339765077,-5.55111512312578e-17
8.5,-0.186804,-0.0458583490301529,0.232662349030153,0
8.75,-0.1243741,-0.146703473545229,0.271077573545229,-5.55111512312578e-17
9,-0.1451179,-0.102802707217392,0.247920607217392,0
9.25,-0.1658617,-0.0744661494463682,0.240327849446368,0
9.5,-0.1066006,-0.0861320416753445,0.192732641675344,0
9.75,-0.186804,-0.0976958584193973,0.284499858419397,0
10,-0.186804,-0.115488523545229,0.302292523545229,-5.55111512312578e-17
10.25,-0.186804,-0.0617666294798904,0.24857062947989,2.77555756156289e-17
10.5,-0.186804,-0.115488523545229,0.302292523545229,-5.55111512312578e-17
