t,id,iq,omega,uzk
-233.0000E-03,-186.8040E-03,+160.8040E-03,+3.8155535E+00,+324.6482487E+00
-232.7500E-03,-186.8040E-03,+80.4020E-03,+3.8592964E+00,+324.6482487E+00
-232.5000E-03,-267.2060E-03,+75.5735E-03,+3.7788944E+00,+324.6482487E+00
-232.2500E-03,-267.2060E-03,+0.0E+00,+3.8592964E+00,+327.3897345E+00
-232.0000E-03,-267.2060E-03,-80.4020E-03,+3.8592964E+00,+324.6482487E+00
-231.7500E-03,-280.5482E-03,-13.3422E-03,+3.7118346E+00,+328.0012416E+00
-231.5000E-03,-259.8044E-03,+0.0E+00,+3.8592964E+00,+325.0183301E+00
-231.2500E-03,-186.8040E-03,+52.2566E-03,+3.7788944E+00,+328.6683493E+00
-231.0000E-03,-186.8040E-03,+80.4020E-03,+3.8592964E+00,+324.6482487E+00
-230.7500E-03,-256.4370E-03,+80.4020E-03,+3.7788944E+00,+328.1298974E+00
-230.5000E-03,-186.8040E-03,+70.4273E-03,+3.7788944E+00,+324.6482487E+00
-230.2500E-03,-186.8040E-03,+30.7185E-03,+3.8592964E+00,+327.1324229E+00
-230.0000E-03,-186.8040E-03,+0.0E+00,+3.7788944E+00,+324.6482487E+00
-229.7500E-03,-186.8040E-03,+0.0E+00,+3.8592964E+00,+324.6482487E+00
-229.5000E-03,-186.8040E-03,-80.4020E-03,+3.7788944E+00,+324.6482487E+00
-229.2500E-03,-220.0957E-03,-80.4020E-03,+3.8121861E+00,+324.6482487E+00
-229.0000E-03,-267.2060E-03,+0.0E+00,+3.8052610E+00,+327.3500199E+00
-228.7500E-03,-267.2060E-03,+0.0E+00,+3.7788944E+00,+324.6482487E+00
-228.5000E-03,-201.9250E-03,+80.4020E-03,+3.8592964E+00,+324.6482487E+00
-228.2500E-03,-186.8040E-03,+80.4020E-03,+3.7343572E+00,+326.8751114E+00
-228.0000E-03,-210.5975E-03,+80.4020E-03,+3.7788944E+00,+324.6482487E+00
-227.7500E-03,-186.8040E-03,+83.4517E-03,+3.7015421E+00,+324.8007332E+00
-227.5000E-03,-186.8040E-03,+160.8040E-03,+3.7788944E+00,+324.6482487E+00
-227.2500E-03,-186.8040E-03,+118.8399E-03,+3.8208586E+00,+328.6683493E+00
-227.0000E-03,-165.5837E-03,+21.2204E-03,+3.7788944E+00,+324.6482487E+00
-226.7500E-03,-186.8040E-03,+0.0E+00,+3.8588199E+00,+328.6445205E+00
-226.5000E-03,-186.8040E-03,+0.0E+00,+3.7586272E+00,+324.6482487E+00
-226.2500E-03,-226.1950E-03,+0.0E+00,+3.8199054E+00,+328.6683493E+00
-226.0000E-03,-267.2060E-03,+61.7548E-03,+3.7788944E+00,+324.6482487E+00
-225.7500E-03,-265.1095E-03,+80.4020E-03,+3.7767979E+00,+324.6482487E+00
-225.5000E-03,-186.8040E-03,+160.8040E-03,+3.8364561E+00,+324.6482487E+00
-225.2500E-03,-186.8040E-03,+160.8040E-03,+3.6984924E+00,+326.8274539E+00
-225.0000E-03,-186.8040E-03,+241.2060E-03,+3.7788944E+00,+325.4519550E+00
-224.7500E-03,-186.8040E-03,+165.4737E-03,+3.7788944E+00,+328.4348665E+00
-224.5000E-03,-131.8154E-03,+131.2289E-03,+3.7534810E+00,+324.6482487E+00
-224.2500E-03,-152.5592E-03,+126.5592E-03,+3.8131392E+00,+326.9561096E+00
-224.0000E-03,-106.4020E-03,+80.4020E-03,+3.6984924E+00,+325.3232992E+00
-223.7500E-03,-186.8040E-03,+80.4020E-03,+3.7861372E+00,+324.6482487E+00
-223.5000E-03,-267.2060E-03,+0.0E+00,+3.8872830E+00,+326.0475763E+00
-223.2500E-03,-298.8777E-03,+80.4020E-03,+3.8105661E+00,+324.6482487E+00
-223.0000E-03,-267.2060E-03,+149.8761E-03,+3.7788944E+00,+324.6482487E+00
-222.7500E-03,-186.8040E-03,+150.9881E-03,+3.8592964E+00,+324.6482487E+00
-222.5000E-03,-186.8040E-03,+110.9617E-03,+3.8287368E+00,+324.6482487E+00
-222.2500E-03,-186.8040E-03,+109.5006E-03,+3.8592964E+00,+324.6482487E+00
-222.0000E-03,-267.2060E-03,+80.4020E-03,+3.7788944E+00,+325.0659877E+00
-221.7500E-03,-186.8040E-03,+68.0130E-03,+3.8592964E+00,+325.2676988E+00
-221.5000E-03,-219.9368E-03,+80.4020E-03,+3.8592964E+00,+324.6482487E+00
-221.2500E-03,-186.8040E-03,-80.4020E-03,+3.7788944E+00,+324.6482487E+00
-221.0000E-03,-186.8040E-03,-80.4020E-03,+3.8592964E+00,+328.6683493E+00
-220.7500E-03,-267.2060E-03,-65.4399E-03,+3.7788944E+00,+324.6482487E+00
-220.5000E-03,-267.2060E-03,-35.7059E-03,+3.8592964E+00,+324.6482487E+00
-220.2500E-03,-267.2060E-03,+0.0E+00,+3.7788944E+00,+327.4707327E+00
-220.0000E-03,-267.2060E-03,+3.2085E-03,+3.7788944E+00,+324.6482487E+00
-219.7500E-03,-186.8040E-03,+80.4020E-03,+3.8592964E+00,+328.6683493E+00
-219.5000E-03,-186.8040E-03,+80.4020E-03,+3.7788944E+00,+326.7543986E+00
-219.2500E-03,-245.8268E-03,+80.4020E-03,+3.8592964E+00,+324.6482487E+00
-219.0000E-03,-186.8040E-03,+80.4020E-03,+3.7788944E+00,+324.6482487E+00
-218.7500E-03,-186.8040E-03,+80.4020E-03,+3.8592964E+00,+324.6482487E+00
-218.5000E-03,-145.9519E-03,+39.5499E-03,+3.8592964E+00,+324.6482487E+00
-218.2500E-03,-186.8040E-03,-61.5959E-03,+3.6984924E+00,+324.6482487E+00
