x-axis,1,2,3,4
-41.900E-03,-186.804E-03,-80.402E-03,-241.206E-03,-7.094975E+00
-41.800E-03,-267.206E-03,-80.402E-03,-241.206E-03,-7.022221E+00
-41.700E-03,-240.985E-03,-80.402E-03,-241.206E-03,-7.040794E+00
-41.600E-03,-186.804E-03,-80.402E-03,-196.412E-03,-7.059367E+00
-41.500E-03,-203.839E-03,-97.437E-03,-177.839E-03,-7.077940E+00
-41.400E-03,-186.804E-03,-80.402E-03,-239.668E-03,-7.016110E+00
-41.300E-03,-247.095E-03,-80.402E-03,-180.915E-03,-7.094975E+00
-41.200E-03,-228.523E-03,-80.402E-03,-241.206E-03,-7.014573E+00
-41.100E-03,-186.804E-03,-103.548E-03,-183.950E-03,-7.037719E+00
-41.000E-03,-191.377E-03,-156.231E-03,-241.206E-03,-7.019146E+00
-40.900E-03,-253.206E-03,-94.402E-03,-174.804E-03,-7.080975E+00
-40.800E-03,-234.633E-03,-128.231E-03,-241.206E-03,-7.047146E+00
-40.700E-03,-186.804E-03,-160.804E-03,-211.950E-03,-7.065719E+00
-40.600E-03,-186.804E-03,-91.085E-03,-171.487E-03,-7.084291E+00
-40.500E-03,-259.317E-03,-88.291E-03,-241.206E-03,-7.014573E+00
-40.400E-03,-213.266E-03,-160.804E-03,-187.266E-03,-7.094975E+00
-40.300E-03,-231.839E-03,-125.437E-03,-196.171E-03,-7.049940E+00
-40.200E-03,-267.206E-03,-160.804E-03,-224.412E-03,-7.078181E+00
-40.100E-03,-188.583E-03,-80.402E-03,-160.804E-03,-7.014573E+00
-40.000E-03,-267.206E-03,-160.804E-03,-181.156E-03,-7.074623E+00
-39.900E-03,-225.729E-03,-160.804E-03,-199.729E-03,-7.053497E+00
-39.800E-03,-186.804E-03,-103.307E-03,-183.709E-03,-7.037477E+00
-39.700E-03,-186.804E-03,-160.804E-03,-160.804E-03,-7.018904E+00
-39.600E-03,-186.804E-03,-160.804E-03,-226.965E-03,-7.028814E+00
-39.500E-03,-186.804E-03,-160.804E-03,-208.392E-03,-7.094975E+00
-39.400E-03,-186.804E-03,-131.789E-03,-241.206E-03,-7.065960E+00
-39.300E-03,-256.764E-03,-230.764E-03,-230.764E-03,-7.014573E+00
-39.200E-03,-267.206E-03,-160.804E-03,-233.075E-03,-7.086844E+00
-39.100E-03,-186.804E-03,-160.804E-03,-214.503E-03,-7.014573E+00
-39.000E-03,-186.804E-03,-160.804E-03,-160.804E-03,-7.049698E+00
-38.900E-03,-203.357E-03,-160.804E-03,-177.357E-03,-7.094975E+00
-38.800E-03,-186.804E-03,-162.824E-03,-162.824E-03,-7.094975E+00
-38.700E-03,-186.804E-03,-181.397E-03,-160.804E-03,-7.094975E+00
-38.600E-03,-186.804E-03,-160.804E-03,-202.040E-03,-7.055809E+00
-38.500E-03,-244.543E-03,-160.804E-03,-241.206E-03,-7.037236E+00
-38.400E-03,-190.894E-03,-160.804E-03,-160.804E-03,-7.090884E+00
-38.300E-03,-186.804E-03,-160.804E-03,-226.724E-03,-7.094975E+00
-38.200E-03,-186.804E-03,-160.804E-03,-241.206E-03,-7.061920E+00
-38.100E-03,-186.804E-03,-160.804E-03,-241.206E-03,-7.094975E+00
-38.000E-03,-197.005E-03,-160.804E-03,-231.005E-03,-7.024774E+00
-37.900E-03,-267.206E-03,-160.804E-03,-160.804E-03,-7.086603E+00
-37.800E-03,-213.749E-03,-187.749E-03,-214.261E-03,-7.041517E+00
